,country,restaurant_cnt,cuisine,cuisine_cnt
639,Ireland,11203,Campania,18.0
640,Italy,224763,Campania,5200.0
641,Poland,24698,Campania,77.0
642,Portugal,32592,Campania,30.0
643,Romania,7842,Campania,21.0
644,Slovakia,4251,Campania,4.0
645,Spain,157479,Campania,372.0
646,Sweden,18555,Campania,33.0
647,The Netherlands,29792,Campania,36.0
648,United Kingdom,171664,Campania,267.0
649,Austria,20487,Tuscan,10.0
650,Belgium,23711,Tuscan,10.0
651,Bulgaria,4469,Tuscan,1.0
652,Czech Republic,14844,Tuscan,8.0
653,Denmark,9485,Tuscan,10.0
654,Finland,7372,Tuscan,1.0
655,France,155288,Tuscan,82.0
656,Germany,115333,Tuscan,40.0
657,Greece,33763,Tuscan,6.0
658,Hungary,7431,Tuscan,11.0
659,Ireland,11203,Tuscan,9.0
660,Italy,224763,Tuscan,5232.0
661,Poland,24698,Tuscan,22.0
662,Portugal,32592,Tuscan,13.0
663,Romania,7842,Tuscan,9.0
664,Slovakia,4251,Tuscan,5.0
665,Spain,157479,Tuscan,117.0
666,Sweden,18555,Tuscan,6.0
667,The Netherlands,29792,Tuscan,14.0
668,United Kingdom,171664,Tuscan,60.0
669,Austria,20487,Central-Italian,20.0
670,Belgium,23711,Central-Italian,36.0
671,Bulgaria,4469,Central-Italian,15.0
672,Croatia,8375,Central-Italian,11.0
673,Czech Republic,14844,Central-Italian,22.0
674,Denmark,9485,Central-Italian,19.0
675,Finland,7372,Central-Italian,7.0
676,France,155288,Central-Italian,316.0
677,Germany,115333,Central-Italian,183.0
678,Greece,33763,Central-Italian,23.0
679,Hungary,7431,Central-Italian,25.0
680,Ireland,11203,Central-Italian,21.0
681,Italy,224763,Central-Italian,10108.0
682,Poland,24698,Central-Italian,66.0
683,Portugal,32592,Central-Italian,36.0
684,Romania,7842,Central-Italian,92.0
685,Slovakia,4251,Central-Italian,7.0
686,Spain,157479,Central-Italian,308.0
687,Sweden,18555,Central-Italian,10.0
688,The Netherlands,29792,Central-Italian,60.0
689,United Kingdom,171664,Central-Italian,197.0
690,Austria,20487,Southern-Italian,63.0
691,Belgium,23711,Southern-Italian,110.0
692,Bulgaria,4469,Southern-Italian,11.0
693,Croatia,8375,Southern-Italian,17.0
694,Czech Republic,14844,Southern-Italian,31.0
695,Denmark,9485,Southern-Italian,33.0
696,Finland,7372,Southern-Italian,15.0
697,France,155288,Southern-Italian,572.0
698,Germany,115333,Southern-Italian,383.0
699,Greece,33763,Southern-Italian,86.0
700,Hungary,7431,Southern-Italian,36.0
701,Ireland,11203,Southern-Italian,38.0
702,Italy,224763,Southern-Italian,15075.0
703,Poland,24698,Southern-Italian,139.0
704,Portugal,32592,Southern-Italian,55.0
705,Romania,7842,Southern-Italian,37.0
706,Slovakia,4251,Southern-Italian,12.0
707,Spain,157479,Southern-Italian,648.0
708,Sweden,18555,Southern-Italian,40.0
709,The Netherlands,29792,Southern-Italian,92.0
710,United Kingdom,171664,Southern-Italian,698.0
711,Austria,20487,Barbecue,233.0
712,Belgium,23711,Barbecue,299.0
713,Bulgaria,4469,Barbecue,511.0
714,Croatia,8375,Barbecue,937.0
715,Czech Republic,14844,Barbecue,290.0
716,Denmark,9485,Barbecue,204.0
717,Finland,7372,Barbecue,202.0
718,France,155288,Barbecue,1974.0
719,Germany,115333,Barbecue,1140.0
720,Greece,33763,Barbecue,1479.0
